dataset,metric,overall_winner
ba_2motifs,harmonic_fidelity,ours
ba_2motifs,fid_plus_prob,same
ba_2motifs,fid_minus_prob,ours
ba_2motifs,characterization_prob,ours
ba_house_grid,harmonic_fidelity,graphext
ba_house_grid,fid_plus_prob,ours
ba_house_grid,fid_minus_prob,ours
ba_house_grid,characterization_prob,ours
ba_house_or_grid,harmonic_fidelity,ours
ba_house_or_grid,fid_plus_prob,ours
ba_house_or_grid,fid_minus_prob,ours
ba_house_or_grid,characterization_prob,ours
bace,harmonic_fidelity,ours
bace,fid_plus_prob,graphext
bace,fid_minus_prob,ours
bace,characterization_prob,ours
bbbp,harmonic_fidelity,ours
bbbp,fid_plus_prob,graphext
bbbp,fid_minus_prob,ours
bbbp,characterization_prob,ours
benzene,harmonic_fidelity,ours
benzene,fid_plus_prob,ours
benzene,fid_minus_prob,ours
benzene,characterization_prob,ours
enzymes,harmonic_fidelity,gstarx
enzymes,fid_plus_prob,ours
enzymes,fid_minus_prob,ours
enzymes,characterization_prob,ours
graph_sst2,harmonic_fidelity,gstarx
graph_sst2,fid_plus_prob,ours
graph_sst2,fid_minus_prob,ours
graph_sst2,characterization_prob,ours
graph_sst5,harmonic_fidelity,ours
graph_sst5,fid_plus_prob,ours
graph_sst5,fid_minus_prob,ours
graph_sst5,characterization_prob,ours
graph_twitter,harmonic_fidelity,ours
graph_twitter,fid_plus_prob,ours
graph_twitter,fid_minus_prob,ours
graph_twitter,characterization_prob,ours
mutag,harmonic_fidelity,gstarx
mutag,fid_plus_prob,ours
mutag,fid_minus_prob,ours
mutag,characterization_prob,ours
proteins,harmonic_fidelity,ours
proteins,fid_plus_prob,ours
proteins,fid_minus_prob,ours
proteins,characterization_prob,ours
spmotif_0.5,harmonic_fidelity,ours
spmotif_0.5,fid_plus_prob,ours
spmotif_0.5,fid_minus_prob,ours
spmotif_0.5,characterization_prob,ours
spmotif_0.7,harmonic_fidelity,graphext
spmotif_0.7,fid_plus_prob,ours
spmotif_0.7,fid_minus_prob,ours
spmotif_0.7,characterization_prob,ours
spmotif_0.9,harmonic_fidelity,gstarx
spmotif_0.9,fid_plus_prob,ours
spmotif_0.9,fid_minus_prob,ours
spmotif_0.9,characterization_prob,ours
