dataset,accepted,val_wins_default,val_wins_tuned,val_raw_default,val_raw_tuned,test_wins_default,test_wins_tuned,test_raw_default,test_raw_tuned,mu_c,mu_beta,node_aug,group_aug,gamma_H,gamma_S
ba_2motifs,True,7,7,-0.8904,-0.8775,12,13,-0.6772,-0.6237,1.0157212492513499,0.45691749723424235,0.0233457100744778,1.3777793264145242,0.06172227345029439,0.6849034251722671
bbbp,True,9,10,-0.5633,-0.3583,7,13,-0.025,0.1765,0.9263443387570839,0.6408026959236302,0.14556841737590015,0.20091598681132095,0.8009835771699977,0.24670622460982816
bace,True,5,5,-1.2727,-1.218,5,8,-1.2144,-0.5369,1.195763672079037,0.5755613042197404,0.35383957915029507,0.9254949231238916,0.2803708425830589,0.7534419996674177
mutagenicity,True,6,7,-0.5059,-0.1896,4,7,-0.3774,-0.0067,0.5045501632244596,0.628983459753805,0.03418169013695371,0.638501200048377,0.28640704464437416,0.35562922232651584
proteins,True,13,19,-0.2855,1.3846,15,15,0.622,0.8897,1.9674484458828034,0.5093951400652232,0.11568664838812046,0.3545920818848597,0.4402344109304986,0.6740171224323441
mutag,True,10,10,0.4582,0.5568,11,12,0.3941,0.6674,1.3574968399036291,0.3543373289364185,0.004289902024464594,0.6026262502119819,0.00620784120577689,0.004067555558944784
bzr,True,6,9,0.0476,0.1573,6,9,0.058,0.1971,1.6840948159340912,0.5260161020629293,0.002767946117388398,0.06982756700613613,0.8536554115311669,0.350299069547253
cox2,True,5,5,-0.8948,-0.8934,6,6,-1.1659,-1.0721,0.551758472858964,0.6734013698304852,0.002635936155359647,0.5155037724413448,0.9360003569190632,0.9800379179899233
enzymes,True,8,12,-0.2534,0.5995,12,14,0.4088,0.9522,1.9278707146260325,0.6608260260891595,0.4220141487298558,0.6874611786471676,0.911509111869013,0.5740616854327115
benzene,True,8,14,0.1067,0.1713,9,12,0.1363,0.3555,1.7523956903517603,0.33733405536173766,0.4522247091361078,0.650338424320151,0.8201246624697193,0.06992366982104112
fluoridecarbonyl,True,22,22,0.0006,0.129,17,22,0.6148,0.8229,1.914621435850386,0.3989204484389863,0.0748676388644808,0.435542433149017,0.725798593475576,0.2932344117165966
alkanecarbonyl,True,7,7,-0.6404,-0.4272,4,5,-0.2364,-0.0303,1.5609822177610493,0.6912186947347716,0.16190571880801535,0.9857629742821007,0.4717681175679512,0.16649813808059608
graph_sst2,True,8,8,-0.0882,-0.0592,9,10,0.5664,0.7353,1.5214215916309253,0.5108060820521317,0.02164010684826371,0.8409037537414423,0.9239023294737191,0.3400117504915303
ba_house_and_grid,True,4,7,-1.5381,-0.673,2,7,-1.7148,-0.7694,1.1878459596169895,0.5508569979157356,0.4899828276767294,0.8796229079086877,0.3112476551075288,0.13704160939223717
